model,family,openness,release_date,link
Qwen2-VL-72B,Qwen,Open-weight,2024-08-29,Qwen/Qwen2-VL-72B-Instruct
Qwen2.5,Qwen,Open-weight,,
Qwen2.5-1.5B,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-1.5B
Qwen2.5-1.5B-Instruct,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-1.5B-Instruct
Qwen2.5-3B,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-3B
Qwen2.5-3B-Instruct,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-3B-Instruct
Qwen2.5-7B,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-7B
Qwen2.5-7B-Instruct,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-7B-Instruct
Qwen2.5-7B-Instruct-1M,Qwen,Open-weight,2025-01-27,Qwen/Qwen2.5-7B-Instruct-1M
Qwen2.5-14B,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-14B
Qwen2.5-14B-Instruct,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-14B-Instruct
Qwen2.5-32B,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-32B
Qwen2.5-32B-Instruct,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-32B-Instruct
Qwen2.5-72B,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-72B
Qwen2.5-72B-Instruct,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-72B-Instruct
Qwen2.5-72B-Instruct-Turbo,Qwen,Open-weight,2024-09-16,Qwen/Qwen2.5-72B-Instruct
Qwen2.5-72B-Math,Qwen,Open-weight,2024-09-19,Qwen/Qwen2.5-Math-72B
Qwen2.5-Audio,Qwen,Open-weight,,
Qwen2.5-Max,Qwen,Open-weight,,
Qwen2.5-Omni,Qwen,Open-weight,2025-03-22,Qwen/Qwen2.5-Omni-7B
Qwen2.5-Omni-3B,Qwen,Open-weight,2025-04-30,Qwen/Qwen2.5-Omni-3B
Qwen2.5-Omni-7B,Qwen,Open-weight,2025-03-26,Qwen/Qwen2.5-Omni-7B
Qwen2.5-Plus,Qwen,Open-weight,,
Qwen2.5-VL-72B,Qwen,Open-weight,2025-01-28,Qwen/Qwen2.5-VL-72B-Instruct
Qwen3,Qwen,Open-weight,,
Qwen3-4B,Qwen,Open-weight,2025-04-29,Qwen/Qwen3-4B
Qwen3-4B-Think,Qwen,Open-weight,2025-04-27,Qwen/Qwen3-4B
Qwen3-8B,Qwen,Open-weight,2025-04-28,Qwen/Qwen3-8B
Qwen3-8B-Think,Qwen,Open-weight,2025-04-27,Qwen/Qwen3-8B
Qwen3-14B,Qwen,Open-weight,2025-04-28,Qwen/Qwen3-14B
Qwen3-14B-Think,Qwen,Open-weight,2025-04-27,Qwen/Qwen3-14B
Qwen3-14B-Thinking,Qwen,Open-weight,2025-04-27,Qwen/Qwen3-14B
Qwen3-30B-A3B,Qwen,Open-weight,2025-04-28,Qwen/Qwen3-30B-A3B
Qwen3-30B-A3B-Think,Qwen,Open-weight,2025-04-27,Qwen/Qwen3-30B-A3B
Qwen3-32B,Qwen,Open-weight,2025-04-28,Qwen/Qwen3-32B
Qwen3-32B-Think,Qwen,Open-weight,2025-04-27,Qwen/Qwen3-32B
Qwen3-32B-Thinking,Qwen,Open-weight,2025-04-27,Qwen/Qwen3-32B
Qwen3-235B,Qwen,Open-weight,2025-04-28,Qwen/Qwen3-235B-A22B-Instruct-2507
Qwen3-235B-A22B,Qwen,Open-weight,2025-04-27,Qwen/Qwen3-235B-A22B
Qwen3-235B-A22B-Thinking,Qwen,Open-weight,2025-07-25,Qwen/Qwen3-235B-A22B-Thinking-2507
Qwen3-235B-A22B-Thinking-2507,Qwen,Open-weight,2025-04-29,Qwen/Qwen3-235B-A22B-Thinking-2507
Qwen3-235B-Think,Qwen,Open-weight,2025-07-25,Qwen/Qwen3-235B-A22B-Thinking-2507
Qwen3-Max,Qwen,Open-weight,2025-09-24,
Qwen3-Next-80B-A3B,Qwen,Open-weight,2025-09-09,Qwen/Qwen3-Next-80B-A3B-Instruct
Qwen3-Omni,Qwen,Open-weight,2025-09-22,Qwen/Qwen3-Omni-30B-A3B-Instruct
Qwen3-VL-8B,Qwen,Open-weight,2025-04-29,Qwen/Qwen3-VL-8B-Instruct
Qwq-32B,QwQ,Open-weight,2025-03-06,Qwen/QwQ-32B
Qwq-32B-Preview,QwQ,Open-weight,2024-11-28,Qwen/QwQ-32B-Preview
R1-Distill-Qwen-32B,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
S1-32B,S1,Open-weight,2025-02-03,simplescaling/s1-32B
Sailor2-8B-Chat,Sailor,Open-weight,202 4-09-18,sail/Sailor2-8B-Chat
Sailor2-20B-Chat,Sailor,Open-weight,2024-09-18,sail/Sailor2-20B-Chat
Salamandra-2B-Instruct,Salamandra,Open-weight,2025-02-13,BSC-LT/salamandra-2b-instruct
Salamandra-7B-Instruct,Salamandra,Open-weight,2025-02-13,BSC-LT/salamandra-7b-instruct
SALMONN,SALMONN,Open-weight,2023-10-20,tsinghua-ee/SALMONN
Sarvam-1-2B,Sarvam 1,Open-weight,2024-12-01,sarvamai/sarvam-1
SeaLLMs-V3-1.5B-Chat,SEA-LION,Open-weight,2024-07-01,SeaLLMs/SeaLLMs-v3-1.5B-Chat
SeaLLMs-V3-7B-Chat,SEA-LION,Open-weight,2024-07-01,SeaLLMs/SeaLLMs-v3-7B-Chat
SILMA-9B,SILMA,Open-weight,2024-08-17,silma-ai/SILMA-9B-Instruct-v1.0
Skyfall-36B-V2,Skyfall,Open-weight,2025-06-01,TheDrummer/Skyfall-36B-v2
SmolLM2-1.7B-Instruct,SmolLM,Open-weight,2024-11-02,HuggingFaceTB/SmolLM2-1.7B-Instruct
SmolLM2-360M-Instruct,SmolLM,Open-weight,2024-11-02,HuggingFaceTB/SmolLM2-360M-Instruct
Step-Audio-2,Step-Audio,Open-weight,2025-08-28,stepfun-ai/Step-Audio-2-mini
Step-Audio-2-Mini,Step-Audio,Open-weight,2025-07-23,stepfun-ai/Step-Audio-2-mini
Step-Audio-R1,Step-Audio,Open-weight,2025-07-23,stepfun-ai/Step-Audio-2-mini-Think
T5,T5,Open-weight,2019-12-12,google-t5/t5-base
TinyAya-Global,Aya,Open-weight,2025-03-01,CohereLabs/tiny-aya-global
TinyLlama-1.1B-Chat-V1.0,TinyLlama,Open-source,2024-01-04,TinyLlama/TinyLlama-1.1B-Chat-v1.0
Tongyi-DeepResearch,Tongyi,Open-weight,2025-09-17,Alibaba-NLP/Tongyi-DeepResearch-30B-A3B
Tower+-9B,Tower+,Open-weight,2025-06-09,Unbabel/Tower-Plus-9B
TwHIN-BERT,TwHIN,Open-weight,2022-10-18,Twitter/twhin-bert-base
Vicuna-7B-V1.5,Vicuna,Open-weight,2023-08-01,lmsys/vicuna-7b-v1.5
VITA-Audio,VITA,Open-weight,2024-08-12,VITA-MLLM/VITA-Audio-Boost
XLM-RoBERTa,XLM,Open-weight,2019-12-18,FacebookAI/xlm-roberta-base
